Accession	Description	Gene	Sum PEP Score	Coverage in Percent	Number of Peptides	Number of PSMs	Number of Unique Peptides	Number of AAs	MW [kDa]	calc. pI	Number of Peptides (by Search Engine): A2 Sequest HT	# Peptides (by Search Engine): AA2 Sequest HT	# Peptides (by Search Engine): AB2 Sequest HT	# Peptides (by Search Engine): AC2 Sequest HT	# Peptides (by Search Engine): AD2 Sequest HT	# Peptides (by Search Engine): AE2 Sequest HT	S1rep1	S1rep2	S1rep3	S2rep1	S2rep2	S2rep3
D3ZGG9	Chemokine XC receptor 1	Xcr1	3.148	7	1	9	1	338	39.1	8.41	1					1	3452812.75	3950170	3566654.5	3076468	3191246.5	3038497
B1H257	BLOC-1-related complex subunit 5	Borcs5	3.311	8	1	8	1	195	22.2	6.55	1			1			2496637.688	2161212.688	2134718.188	1423687.313	1023499.531	1344906.281
B1WC73	ADP-ribosylation factor-like 6 (Predicted), isoform CRA_a	Arl6	4.943	9	2	8	2	186	21	8.25	1	1					979617.5	961737.7813	844666.2188	635011.1875	444306.3125	419324.6563
D3ZG88	Mammary tumor virus receptor 2, isoform CRA_a	Znrd2	15.051	15	2	8	2	199	21.3	5.12	1					1	903266.5313	1024107.781	939906.4063	666100.0469	717434.0625	569297.3438
A9UMW0	Ubiquitin-Like 5 Protein, isoform CRA_a	Ubl5	2.987	15	1	7	1	73	8.5	8.44				1			1328360.75	1308914.25	1213342.5	1047514.625	997659.625	441242.3125
D3ZD89	N(alpha)-acetyltransferase 15, NatA auxiliary subunit	Naa15	7.829	3	3	7	3	865	100.9	7.61							343917.3125	958316.0938	987813.5781	125727.1094	579471.6875	333332.7031
D3ZF86	ARFGEF family member 3	Arfgef3	12.278	2	2	7	2	1925	212.9	5.94			1	1	1	1	248865.2031		633825.3438	463173.7188	428704.5156	232218.875
D3ZF13	Acyl carrier protein	Ndufab1	5.031	10	2	6	2	156	17.5	5.07						1	1870118.313	2075936	1772760.063	1231400.438	1169382.5	1272807.688
B2RYI2	Signal recognition particle subunit SRP68	Srp68	5.523	4	2	6	2	625	70.4	8.57						1	1056762.031	1161425.281	677884.125	566142.5078	498605.7031	651917.2031
B5DEJ5	Eefsec protein	Eefsec	8.836	4	2	6	2	583	63.6	8.29		1					784116.8438	666498.0938	535891.0938	622478.9063	474506.7188	424162.0938
D3ZCI5	Syntaxin-binding protein 6	Stxbp6	7.373	10	2	5	2	210	23.7	9.19							1155099		1201056.781	717869.0625	235969.4219	
D3ZNK1	Metaxin	Mtx3	9.371	10	2	5	2	311	34.7	7.77							685861.25	889621.1875	724194.4688	645619.9531	606817.625	597967.3125
B1WC02	CTP synthase	Ctps1	7.201	4	2	5	2	591	66.6	6.58			1				883737.9375	763059.6563	702741.3438	547765.0781	530207.5156	517681.9219
D3ZCF5	E3 ubiquitin-protein ligase	Smurf1	2.919	1	1	4	1	728	83	7.27							866843.5625	885519.9375	900995.5625	697727.5	546611.625	551278.375
A0JPQ9	Chitinase domain-containing protein 1	Chid1	3.288	4	1	3	1	393	44.8	7.97		1					833929.1875	930460.6875	965954	556406.875	520855.4063	449756.5
D3ZC82	Nuclear FMR1-interacting protein 2	Nufip2	3.995	2	1	2	1	691	75.6	8.7							731169.125	859135.375	876738.4375	444936.5	327977.8438	494948.4063
D3ZKT0	Phosphatidate cytidylyltransferase, mitochondrial	Tamm41	3.603	3	1	2	1	337	37.8	8.98							6272864.563	6772287.156	7143576.5	5253730.406	4769262.047	3755271.969
B2RZ68	DDB1 and CUL4-associated factor 7	Dcaf7	3.041	5	1	2	1	342	38.9	5.52					1		629249	633895.625	625447.6875	514607.7813	329847.25	369144.3438
D3ZHV7	Serine dehydratase-like	Sdsl	3.775	5	1	2	1	329	34.9	6.54							752260.0625	778501.125	622591.875	564084.625	500686.6875	442660.625
B1H222	RAB6-interacting golgin	Gorab	2.945	6	1	1	1	368	41.6	6.11							463940.7813	594927.625	537018.625	703383.125	755040.625	806838.9375
B2RYJ6	Tetratricopeptide repeat domain 9	Ttc9	3.092	6	1	1	1	249	27.4	9.44							3522555.75	3951638.5	4340766	3927198.75	4110988.5	2994203
D3ZLW4	Tuberin	Tsc2	3.111	1	1	1	1	1785	198.5	7.14							1174682.375	1262447.625	1296500.625	913595.9375	695464.6875	754705.625
