Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Razor + unique peptides 25000am.1	Razor + unique peptides 25000am.2	Razor + unique peptides 25000am.3	Razor + unique peptides 2500am.1	Razor + unique peptides 2500am.2	Razor + unique peptides 2500am.3	Razor + unique peptides 250am.1	Razor + unique peptides 250am.2	Razor + unique peptides 250am.3	Unique peptides 25000am.1	Unique peptides 25000am.2	Unique peptides 25000am.3	Unique peptides 2500am.1	Unique peptides 2500am.2	Unique peptides 2500am.3	Unique peptides 250am.1	Unique peptides 250am.2	Unique peptides 250am.3	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	iBAQ	iBAQ 25000am.1	iBAQ 25000am.2	iBAQ 25000am.3	iBAQ 2500am.1	iBAQ 2500am.2	iBAQ 2500am.3	iBAQ 250am.1	iBAQ 250am.2	iBAQ 250am.3	LFQ intensity 25000am.1	LFQ intensity 25000am.2	LFQ intensity 25000am.3	LFQ intensity 2500am.1	LFQ intensity 2500am.2	LFQ intensity 2500am.3	LFQ intensity 250am.1	LFQ intensity 250am.2	LFQ intensity 250am.3	Potential contaminant	id	Peptide IDs	Peptide is razor	Oxidation (M) site IDs	Oxidation (M) site positions
"sp|P10664|RL4A_YEAST;sp|P49626|RL4B_YEAST"	"sp|P10664|RL4A_YEAST;sp|P49626|RL4B_YEAST"	"14;13"	"14;13"	"14;13"	"sp|P10664|RL4A_YEAST 60S ribosomal protein L4-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL4A PE=1 SV=4;sp|P49626|RL4B_YEAST 60S ribosomal protein L4-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL4"	2	14	14	14	14	13	13	14	14	14	13	14	14	14	13	13	14	14	14	13	14	14	59.9	59.9	39.092	362	"362;362"	0	232.42	20123000000	914680000	35380000	39755000	37121000	33048000	35441000	36989000	36400000	38296000	38252000	853160000	804200000	819920000	820680000	856360000	865470000	860060000	884220000	883400000		249	"184;574;2800;2801;2937;3514;4710;5215;5466;5810;5875;6249;6336;6842"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P10963|PCKA_YEAST	sp|P10963|PCKA_YEAST	18	18	18	sp|P10963|PCKA_YEAST Phosphoenolpyruvate carboxykinase (ATP) OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PCK1 PE=1 SV=2	1	18	18	18	15	15	15	15	13	15	16	17	15	15	15	15	15	13	15	16	17	15	53.9	53.9	60.983	549	549	0	323.31	6664300000	222140000	7589100	9281900	8902800	8798000	8142700	8641000	10128000	10016000	9467300	272810000	254490000	258370000	291940000	288650000	291970000	312420000	309240000	304440000		251	"251;389;642;656;1696;1987;2930;3070;4130;4277;4336;4404;4515;4843;5233;6050;6096;6843"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P11076|ARF1_YEAST	sp|P11076|ARF1_YEAST	9	9	3	sp|P11076|ARF1_YEAST ADP-ribosylation factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ARF1 PE=1 SV=3	1	9	9	3	6	6	7	8	9	7	7	8	6	1	2	2	2	3	1	2	2	1	72.4	29.3	20.529	181	181	0	108.4	3049100000	254090000	10438000	12200000	11933000	12238000	11435000	11888000	9368400	9554500	7670500	118440000	115500000	126130000	130880000	118740000	117790000	122400000	116880000	118290000		252	"2864;3597;3625;4328;4388;4530;4656;4674;4835"	"True;True;True;True;True;True;True;True;True"		
sp|P11484|SSB1_YEAST	sp|P11484|SSB1_YEAST	32	32	2	sp|P11484|SSB1_YEAST Ribosome-associated molecular chaperone SSB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SSB1 PE=1 SV=3	1	32	32	2	31	29	29	31	31	30	32	31	32	2	2	2	2	2	2	2	2	2	61	5.5	66.601	613	613	0	323.31	55873000000	1693100000	65075000	81164000	72495000	68060000	67017000	69048000	65663000	66735000	69665000	2310000000	2329800000	2334800000	2470200000	2467600000	2428000000	2383900000	2406600000	2411700000		256	"476;584;682;1387;1630;2643;2644;2799;3335;3558;3843;4085;4320;4381;4382;4687;4689;4940;4991;5265;5298;5299;5440;5488;5530;5541;5771;5777;5798;5926;6354;6636"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	115	522
sp|P12709|G6PI_YEAST	sp|P12709|G6PI_YEAST	24	24	24	sp|P12709|G6PI_YEAST Glucose-6-phosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PGI1 PE=1 SV=3	1	24	24	24	22	23	23	23	22	23	24	23	22	22	23	23	23	22	23	24	23	22	69.5	69.5	61.298	554	554	0	323.31	43371000000	1495500000	57008000	69792000	65843000	58915000	58477000	61623000	59020000	59512000	61170000	1770300000	1758400000	1790900000	1862400000	1917600000	1921200000	1822500000	1838500000	1910800000		265	"107;406;611;693;1091;1183;1300;1797;2242;2444;2552;3028;3047;3448;3722;4323;4584;4591;4726;5398;5775;5776;6294;6671"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	116	120
sp|P13663|DHAS_YEAST	sp|P13663|DHAS_YEAST	11	11	11	sp|P13663|DHAS_YEAST Aspartate-semialdehyde dehydrogenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HOM2 PE=1 SV=1	1	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	40.5	40.5	39.543	365	365	0	244.98	5101600000	242930000	9138400	11813000	10682000	9614500	9745400	9547800	9548300	9575600	10302000	207530000	236190000	229210000	218610000	216310000	218000000	211830000	209730000	222520000		273	"951;1115;1404;1716;2570;2983;3855;4654;4950;6189;7084"	"True;True;True;True;True;True;True;True;True;True;True"		
sp|P14126|RL3_YEAST	sp|P14126|RL3_YEAST	17	17	17	sp|P14126|RL3_YEAST 60S ribosomal protein L3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL3 PE=1 SV=4	1	17	17	17	13	16	15	16	16	12	16	16	15	13	16	15	16	16	12	16	16	15	40.1	40.1	43.757	387	387	0	28.275	4539900000	197390000	6861500	9864000	8159900	7994700	7401200	6861700	8293900	8754100	7546200	184160000	196790000	178030000	183680000	187420000	189500000	187690000	194580000	185760000		277	"198;1841;2109;2426;3161;3328;3342;4426;5308;5368;5369;5377;5870;6149;6317;6483;6839"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P14540|ALF_YEAST	sp|P14540|ALF_YEAST	17	17	17	sp|P14540|ALF_YEAST Fructose-bisphosphate aldolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FBA1 PE=1 SV=3	1	17	17	17	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	64.6	64.6	39.62	359	359	0	323.31	67222000000	3361100000	130710000	155130000	144600000	128080000	130320000	139880000	129280000	136500000	136340000	2489500000	2456700000	2395700000	2594200000	2522000000	2679700000	2388500000	2502400000	2589100000		279	"328;1049;1050;1220;1572;1963;2143;2351;3270;3337;3829;4312;5237;5329;5419;5816;6502"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P14832|CYPH_YEAST	sp|P14832|CYPH_YEAST	11	11	11	sp|P14832|CYPH_YEAST Peptidyl-prolyl cis-trans isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CPR1 PE=1 SV=3	1	11	11	11	8	10	10	10	11	11	11	10	10	8	10	10	10	11	11	11	10	10	60.5	60.5	17.39	162	162	0	98.187	8643100000	864310000	31430000	36013000	39306000	32960000	33167000	34157000	33329000	35058000	35391000	349310000	355060000	361420000	382780000	378600000	373360000	368820000	370040000	362130000		282	"1799;1800;2057;2547;2548;3349;4263;5290;5459;6256;6382"	"True;True;True;True;True;True;True;True;True;True;True"		
sp|P15019|TAL1_YEAST	sp|P15019|TAL1_YEAST	18	18	18	sp|P15019|TAL1_YEAST Transaldolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TAL1 PE=1 SV=4	1	18	18	18	15	17	15	16	15	14	15	15	15	15	17	15	16	15	14	15	15	15	56.7	56.7	37.036	335	335	0	323.31	7319000000	304960000	12098000	15386000	14123000	12341000	11707000	12112000	11662000	12061000	12283000	318200000	322080000	334110000	324950000	310410000	323710000	308220000	310380000	307880000		287	"492;1051;1074;1614;1835;1849;2024;2025;2585;3215;3576;3685;3864;3874;4039;4550;6042;6168"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P15108|HSC82_YEAST	sp|P15108|HSC82_YEAST	44	44	12	sp|P15108|HSC82_YEAST ATP-dependent molecular chaperone HSC82 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HSC82 PE=1 SV=4	1	44	44	12	42	41	43	44	43	43	43	44	44	12	12	12	12	11	12	12	12	12	56	16.2	80.899	705	705	0	323.31	64728000000	1618200000	61155000	71770000	67729000	62344000	61416000	64333000	64676000	66415000	69369000	2689700000	2586600000	2522900000	2731500000	2672700000	2717100000	2769100000	2790600000	2884200000		288	"114;254;334;429;727;746;805;887;969;1161;1245;1321;1322;1536;1945;2391;2454;2525;3334;3355;3535;3588;3589;3660;3689;3690;3769;4467;4468;4544;4622;4896;4984;5035;5279;5416;5557;5747;5807;5933;5934;6282;6408;7041"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	97	585
sp|P15180|SYKC_YEAST	sp|P15180|SYKC_YEAST	14	14	14	sp|P15180|SYKC_YEAST Lysine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KRS1 PE=1 SV=2	1	14	14	14	12	11	10	12	10	11	12	10	13	12	11	10	12	10	11	12	10	13	33.3	33.3	67.958	591	591	0	72.939	2959000000	87029000	3828700	3245900	4015400	3130900	2855500	3394500	3484200	3476900	3742100	120910000	114030000	135030000	130070000	131800000	126170000	131680000	140860000	133500000		289	"1224;1263;1514;1651;1702;1811;2882;2917;3429;4169;4912;5700;5818;6562"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P15624|SYFB_YEAST	sp|P15624|SYFB_YEAST	15	15	15	sp|P15624|SYFB_YEAST Phenylalanine--tRNA ligase beta subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FRS1 PE=1 SV=3	1	15	15	15	14	10	13	13	14	13	14	13	12	14	10	13	13	14	13	14	13	12	35.1	35.1	67.364	595	595	0	142.64	2838900000	69243000	2686100	2777400	2932900	2922500	2795700	2801700	2859800	2691300	2724400	123010000	119300000	114550000	129170000	127640000	124580000	131250000	126970000	122280000		295	"1918;2422;3693;4069;4659;5516;5603;5737;6049;6177;6196;6582;6869;6966;7094"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P15703|BGL2_YEAST	sp|P15703|BGL2_YEAST	9	9	9	sp|P15703|BGL2_YEAST Glucan 1,3-beta-glucosidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BGL2 PE=1 SV=1	1	9	9	9	7	8	7	7	8	6	7	7	6	7	8	7	7	8	6	7	7	6	39.9	39.9	34.118	313	313	0	201.36	2953300000	246110000	7915000	13533000	8804800	11443000	11453000	7634800	9290500	8828500	7687600	117810000	120700000	111140000	132720000	133080000	130890000	117230000	129680000	126960000		299	"38;1191;1447;2551;4430;4431;5540;5589;6732"	"True;True;True;True;True;True;True;True;True"		
sp|P15705|STI1_YEAST	sp|P15705|STI1_YEAST	25	25	25	sp|P15705|STI1_YEAST Heat shock protein STI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=STI1 PE=1 SV=1	1	25	25	25	20	20	19	20	21	20	20	22	21	20	20	19	20	21	20	20	22	21	46.5	46.5	66.264	589	589	0	323.31	6600100000	160980000	6051100	6952100	6509400	6165800	6300800	6480900	6462500	7137900	7221200	259880000	261660000	264350000	283430000	276280000	286250000	291640000	288680000	280580000		300	"2;228;234;309;819;1197;1227;1535;1833;1852;2045;2980;3151;3167;3604;3605;3875;4822;4823;4851;4919;5047;5136;5838;6027"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P15891|ABP1_YEAST	sp|P15891|ABP1_YEAST	15	15	15	sp|P15891|ABP1_YEAST Actin-binding protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ABP1 PE=1 SV=4	1	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	33.1	33.1	65.575	592	592	0	199.16	4283000000	104460000	3848200	4893500	4826300	4315400	4215100	4243200	4327100	4261900	4486500	165990000	182610000	189930000	197990000	191460000	190010000	194500000	186980000	191150000		303	"98;486;731;744;1154;1225;2290;2634;2788;3324;4203;4695;5468;6498;6574"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P15992|HSP26_YEAST	sp|P15992|HSP26_YEAST	11	11	11	sp|P15992|HSP26_YEAST Heat shock protein 26 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HSP26 PE=1 SV=3	1	11	11	11	10	9	9	10	10	9	10	9	10	10	9	9	10	10	9	10	9	10	72	72	23.879	214	214	0	308.2	4940300000	380020000	14952000	17126000	16159000	15686000	15710000	14900000	16054000	14627000	16418000	206620000	200310000	207810000	232860000	222650000	217400000	219330000	207620000	215270000		304	"737;789;1489;3239;3798;4638;4639;5025;5193;5554;6393"	"True;True;True;True;True;True;True;True;True;True;True"		
sp|P16120|THRC_YEAST	sp|P16120|THRC_YEAST	24	24	24	sp|P16120|THRC_YEAST Threonine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=THR4 PE=1 SV=1	1	24	24	24	23	21	21	22	22	24	21	23	21	23	21	21	22	22	24	21	23	21	56.2	56.2	57.474	514	514	0	323.31	7178300000	231560000	9266300	12931000	9057600	9564800	9486700	9331800	9279700	10088000	8810500	298880000	344140000	313370000	328610000	319990000	316190000	330330000	324870000	312320000		305	"174;994;1008;1009;1022;1546;1560;1561;1930;3126;3418;3867;4043;4259;4260;4395;4778;4882;5274;5864;5953;6147;6598;6599"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P16140|VATB_YEAST	sp|P16140|VATB_YEAST	22	22	22	sp|P16140|VATB_YEAST V-type proton ATPase subunit B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VMA2 PE=1 SV=2	1	22	22	22	19	20	20	20	20	20	21	21	20	19	20	20	20	20	20	21	21	20	60	60	57.749	517	517	0	323.31	7430000000	218530000	8197400	9767900	9128400	8386000	8722300	8794900	9129500	9624400	9181600	313960000	296480000	303510000	328440000	329910000	322920000	325640000	339350000	328740000		306	"274;475;567;606;2149;2411;2543;2697;2831;2939;2953;3134;3427;3942;4065;4812;5763;6032;6061;6085;6261;7018"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P16474|BIP_YEAST	sp|P16474|BIP_YEAST	18	17	17	sp|P16474|BIP_YEAST Endoplasmic reticulum chaperone BiP OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KAR2 PE=1 SV=1	1	18	17	17	14	15	14	14	13	13	15	14	14	14	15	14	14	13	13	15	14	14	28.2	28.2	74.467	682	682	0	266.44	4765900000	128810000	3868600	7633700	4203000	6245700	3472800	4025700	6496800	6490000	4084400	205840000	214490000	207780000	211330000	214840000	211430000	215610000	196780000	201280000		310	"364;684;1587;1643;2463;2672;3049;3092;3548;4132;4648;5163;5724;6297;6467;6468;6566;6625"	"True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P16521|EF3A_YEAST	sp|P16521|EF3A_YEAST	46	46	36	sp|P16521|EF3A_YEAST Elongation factor 3A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YEF3 PE=1 SV=4	1	46	46	36	38	38	36	39	40	39	41	41	42	28	29	28	30	31	29	32	31	32	54.2	45	115.94	1044	1044	0	323.31	36471000000	688130000	25085000	29800000	27286000	27373000	27151000	27978000	28496000	28992000	30117000	1465700000	1459300000	1458600000	1512900000	1529100000	1534700000	1531500000	1524900000	1566000000		311	"280;336;343;520;562;620;621;828;1083;1084;1168;1228;1258;1806;1840;2235;2236;2568;2595;2774;3116;3197;3317;3692;4081;4096;4157;4181;4182;4346;4347;4373;4581;4759;4760;4874;4986;5084;5390;5532;5623;5990;6119;6427;6633;6928"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P16861|PFKA1_YEAST	sp|P16861|PFKA1_YEAST	31	31	30	sp|P16861|PFKA1_YEAST ATP-dependent 6-phosphofructokinase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PFK1 PE=1 SV=1	1	31	31	30	27	24	27	28	29	28	30	30	30	26	23	26	27	28	27	29	29	29	44.2	43.3	107.97	987	987	0	323.31	10577000000	188880000	6993700	7873500	8000200	7361700	7447000	7177700	7728000	8267400	8207100	440050000	446710000	429430000	463290000	454340000	462530000	483440000	471380000	461860000		316	"127;161;471;503;586;718;982;1350;1530;1709;1881;2396;2443;2459;2596;2607;2626;2721;3496;3894;4028;4037;4358;4455;4608;4806;5255;5549;5550;5649;5845"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P16862|PFKA2_YEAST	sp|P16862|PFKA2_YEAST	23	22	22	sp|P16862|PFKA2_YEAST ATP-dependent 6-phosphofructokinase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PFK2 PE=1 SV=4	1	23	22	22	20	19	21	21	22	22	21	22	22	20	19	21	21	22	22	21	22	22	31.7	31.7	104.62	959	959	0	268.04	6118600000	122370000	4669100	5404200	5199100	4549600	4811500	5347400	5002100	5129100	5085900	253470000	258220000	256890000	260930000	261090000	263580000	270250000	258710000	259420000		317	"13;161;162;225;552;895;1596;2298;2397;2825;3056;3297;3409;3676;3796;4416;4698;4751;4913;5175;5490;5863;6635"	"True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P17255|VATA_YEAST	sp|P17255|VATA_YEAST	36	36	36	sp|P17255|VATA_YEAST V-type proton ATPase catalytic subunit A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VMA1 PE=1 SV=3	1	36	36	36	30	27	30	31	32	29	30	32	31	30	27	30	31	32	29	30	32	31	37.3	37.3	118.64	1071	1071	0	321.83	10637000000	154170000	6015900	6564800	7072500	5668500	6180700	6067700	5783800	6600800	6106700	446960000	451090000	467220000	456810000	452710000	444430000	453550000	445630000	438820000		320	"146;249;396;397;522;527;549;553;622;773;882;1157;1462;1472;1877;1942;2123;2333;2844;2845;3041;3624;3850;3902;4021;4528;4602;4719;5115;5337;5618;6053;6095;6313;6544;7074"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	121	779
sp|P17505|MDHM_YEAST	sp|P17505|MDHM_YEAST	17	17	17	sp|P17505|MDHM_YEAST Malate dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MDH1 PE=1 SV=2	1	17	17	17	16	14	15	16	16	15	16	16	16	16	14	15	16	16	15	16	16	16	69.2	69.2	35.65	334	334	0	323.31	12237000000	644040000	24391000	26662000	25566000	25256000	25873000	26075000	26775000	26292000	27977000	505050000	501430000	487190000	531050000	529050000	536270000	532710000	542080000	556710000		322	"719;840;981;1005;1581;1582;1725;2069;2070;2348;2759;2967;3265;3581;5147;6519;6646"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P17709|HXKG_YEAST	sp|P17709|HXKG_YEAST	13	13	13	sp|P17709|HXKG_YEAST Glucokinase-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GLK1 PE=1 SV=1	1	13	13	13	11	10	12	12	12	12	11	11	12	11	10	12	12	12	12	11	11	12	38.4	38.4	55.377	500	500	0	187.2	3632600000	125260000	5081100	4948800	5373800	4982100	4552900	4921800	5672400	5061700	5649800	139100000	136710000	134600000	147310000	148730000	142460000	160200000	153760000	157510000		327	"583;1460;2370;2429;2932;3626;3976;4093;4523;5090;5889;6589;6881"	"True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P17967|PDI_YEAST	sp|P17967|PDI_YEAST	17	17	17	sp|P17967|PDI_YEAST Protein disulfide-isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDI1 PE=1 SV=2	1	17	17	17	13	14	12	13	14	14	15	15	16	13	14	12	13	14	14	15	15	16	42.9	42.9	58.226	522	522	0	323.31	4173100000	143900000	4205500	6548900	4403200	5306900	5943700	5401300	6326400	6258900	6898100	176240000	179730000	175080000	178450000	195680000	179780000	187480000	181790000	189710000		329	"11;380;751;1406;2194;2393;2452;3147;3325;3447;4500;4501;5166;5320;5436;5627;6938"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
"sp|P18239|ADT2_YEAST;sp|P18238|ADT3_YEAST;sp|P04710|ADT1_YEAST"	sp|P18239|ADT2_YEAST	"14;3;1"	"14;3;1"	"14;3;1"	sp|P18239|ADT2_YEAST ADP,ATP carrier protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PET9 PE=1 SV=2	3	14	14	14	11	10	11	9	10	11	12	11	9	11	10	11	9	10	11	12	11	9	39	39	34.426	318	"318;307;309"	0	102.03	4929700000	214330000	8419500	9897600	9729400	9217600	8653500	8772500	8562900	8121100	7589000	197090000	206020000	192260000	225230000	210700000	216020000	203280000	205720000	200930000		330	"1438;1993;3060;3200;3246;3814;4334;5120;5672;5985;6831;6832;6860;6915"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P19097|FAS2_YEAST	sp|P19097|FAS2_YEAST	53	53	53	sp|P19097|FAS2_YEAST Fatty acid synthase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FAS2 PE=1 SV=2	1	53	53	53	42	40	42	44	41	44	42	41	42	42	40	42	44	41	44	42	41	42	37	37	206.94	1887	1887	0	323.31	16387000000	145010000	5542400	6604200	6349100	6002700	5785200	6156100	5496200	5580500	5675800	680750000	698270000	663730000	746520000	730590000	717670000	713230000	707620000	695060000		335	"12;48;148;269;403;540;601;602;839;977;1152;1218;1226;1240;1272;1358;1359;1366;1445;1468;1491;1529;1980;2098;2286;2301;2318;2842;2894;3146;3279;3697;4067;4080;4152;4313;4492;4494;4833;4839;4865;4936;4966;4975;5149;5219;5319;5878;5898;6675;6782;6841;7095"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	122	56
sp|P19358|METK2_YEAST	sp|P19358|METK2_YEAST	12	12	7	sp|P19358|METK2_YEAST S-adenosylmethionine synthase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SAM2 PE=1 SV=3	1	12	12	7	8	9	9	9	6	9	8	7	8	4	5	5	6	3	6	5	4	5	43.2	29.7	42.255	384	384	0	53.209	3452400000	156930000	6107100	6850200	7470100	6961300	5239600	6371900	6178000	5541800	6668400	138840000	145250000	147060000	152250000	147380000	150710000	147530000	143440000	159030000		338	"780;1911;3240;3523;3915;4464;4766;5110;5111;5686;5764;6908"	"True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P19414|ACON_YEAST	sp|P19414|ACON_YEAST	31	31	30	sp|P19414|ACON_YEAST Aconitate hydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ACO1 PE=1 SV=2	1	31	31	30	28	27	29	27	26	28	29	26	29	27	26	28	26	25	27	28	25	28	52.2	51.3	85.367	778	778	0	323.31	15046000000	327090000	13021000	14707000	13500000	12487000	11856000	13298000	12033000	13431000	13921000	641640000	619340000	646570000	666470000	647310000	690830000	615450000	612610000	642730000		339	"223;778;826;871;896;1170;1216;1492;1531;1756;2399;2622;2755;2889;3312;3930;3992;4322;4427;4613;4682;4724;4795;4862;4921;5381;5841;6058;6320;6513;6819"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
sp|P19882|HSP60_YEAST	sp|P19882|HSP60_YEAST	28	28	28	sp|P19882|HSP60_YEAST Heat shock protein 60, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HSP60 PE=1 SV=1	1	28	28	28	27	26	27	28	28	28	27	28	27	27	26	27	28	28	28	27	28	27	53.5	53.5	60.751	572	572	0	323.31	21457000000	596020000	22362000	28968000	26314000	23201000	23576000	24801000	23811000	24513000	24244000	852610000	887440000	855280000	922850000	931380000	946310000	939350000	918460000	922740000		342	"50;431;829;941;2058;2299;2352;3015;3244;3657;3681;3763;3835;4048;4693;4707;4872;5018;5176;5896;5955;6240;6309;6310;6356;6357;6421;6856"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	"123;124"	"135;214"
sp|P20081|FKBP_YEAST	sp|P20081|FKBP_YEAST	6	6	6	sp|P20081|FKBP_YEAST FK506-binding protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FPR1 PE=1 SV=2	1	6	6	6	4	4	4	4	4	4	5	6	5	4	4	4	4	4	4	5	6	5	65.8	65.8	12.158	114	114	0	111.12	5942500000	660280000	21261000	27842000	24139000	24128000	23626000	24252000	29099000	31988000	30305000	242500000	260170000	242330000	278730000	273580000	268620000	270300000	262480000	264290000		345	"2064;2313;2394;3011;4122;5172"	"True;True;True;True;True;True"		
sp|P20967|ODO1_YEAST	sp|P20967|ODO1_YEAST	15	15	15	sp|P20967|ODO1_YEAST 2-oxoglutarate dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KGD1 PE=1 SV=2	1	15	15	15	14	10	10	12	14	13	14	14	12	14	10	10	12	14	13	14	14	12	23	23	114.41	1014	1014	0	96.606	3366400000	64739000	2489000	2459700	2260700	2538800	2818600	2838600	2907700	3055400	2815600	137760000	131820000	142230000	161320000	161180000	152350000	160190000	159890000	149290000		350	"207;1294;1683;1771;2434;2682;3295;3300;3732;3940;4246;4605;5242;5563;7100"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"		
